Title,Link	"Título ""OK"""					
On approach for the implementation of data mining to business process optimisation in commercial companies,	On approach for the implementation of data mining to business process optimisation in commercial companies					
A review of machine learning and data mining approaches for business applications in social networks,	A review of machine learning and data mining approaches for business applications in social networks					
A framework for business analytics in performance management,	A framework for business analytics in performance management					
In light of the limitations of data-driven decision making,	In light of the limitations of data-driven decision making					
Data mining methodology in perspective of manufacturing databases,	Data mining methodology in perspective of manufacturing databases					
Making APA into a Data-driven organization: 2011 report of the policy and planning board,	Making APA into a Data-driven organization: 2011 report of the policy and planning board					
Achieving benefits with business analytics systems: An evolutionary process perspective,	Achieving benefits with business analytics systems: An evolutionary process perspective					
Integrating analytics into the operational fabric of your business: A combined platform for optimizing analytics and operations,	Integrating analytics into the operational fabric of your business: A combined platform for optimizing analytics and operations					
Security analytics: Risk analysis for an organisation's incident management processes,	Security analytics: Risk analysis for an organisation's incident management processes					
Integrating data governance and big data with business processes,	Integrating data governance and big data with business processes					
The principal role in data-driven decision making: Using case-study data to develop multi-mediator models of educational reform,	The principal role in data-driven decision making: Using case-study data to develop multi-mediator models of educational reform					
Video analytics for business intelligence,	Video analytics for business intelligence					
A Decision making process application for the slurry production in ceramics via fuzzy cluster and data mining,	A Decision making process application for the slurry production in ceramics via fuzzy cluster and data mining					
A Perfect Time for Data Use: Using Data-Driven Decision Making to Inform Practice,	A Perfect Time for Data Use: Using Data-Driven Decision Making to Inform Practice					
Data-driven healthcare recruiting. A competitive job market forces organizations to act on metrics in the process of hiring their staff.,	Data-driven healthcare recruiting. A competitive job market forces organizations to act on metrics in the process of hiring their staff.					
Big data: At the crossroad of technology, business and regulation,	Big data: At the crossroad of technology, business and regulation					
Textual data mining for industrial knowledge management and text classification: A business oriented approach,	Textual data mining for industrial knowledge management and text classification: A business oriented approach					
MoleculaRnetworks: An integrated graph theoretic and data mining tool to explore solvent organization in molecular simulation,	MoleculaRnetworks: An integrated graph theoretic and data mining tool to explore solvent organization in molecular simulation					
Transforming e-services evaluation data into business analytics using value models,	Transforming e-services evaluation data into business analytics using value models					
A data mining approach considering missing values for the optimization of semiconductor-manufacturing processes,	A data mining approach considering missing values for the optimization of semiconductor-manufacturing processes					
Discovering correlated parameters in semiconductor manufacturing processes: A data mining approach,	Discovering correlated parameters in semiconductor manufacturing processes: A data mining approach					
Visual analytics for converging-business-ecosystem intelligence,	Visual analytics for converging-business-ecosystem intelligence					
Examining cultural effects on distributed decision-making processes using keyword analysis and data mining techniques,	Examining cultural effects on distributed decision-making processes using keyword analysis and data mining techniques					
Cross-Industry Standard Process for data mining is applicable to the lung cancer surgery domain, improving decision making as well as knowledge and quality management,	Cross-Industry Standard Process for data mining is applicable to the lung cancer surgery domain, improving decision making as well as knowledge and quality management					
Business intelligence and analytics: From big data to big impact,	Business intelligence and analytics: From big data to big impact					
Seriously data-driven decision making,	Seriously data-driven decision making					
Student involvement and data-driven decision making: Developing a new typology,	Student involvement and data-driven decision making: Developing a new typology					
Knowledge diffusion in a specialist organization: Observational and Data-Driven case study,	Knowledge diffusion in a specialist organization: Observational and Data-Driven case study					
What is missing? Using data mining techniques with business cycle phases for predicting company financial crises,	What is missing? Using data mining techniques with business cycle phases for predicting company financial crises					
Future trends in business analytics and optimization,	Future trends in business analytics and optimization					
A data mining approach to automate fault detection model development in the semiconductor manufacturing process,	A data mining approach to automate fault detection model development in the semiconductor manufacturing process					
Data-driven decision making: A nursing research and evidence-based practice dashboard,	Data-driven decision making: A nursing research and evidence-based practice dashboard					
Development and application of parallel distributed data mining algorithm in optimal management of databases for organizations,	Development and application of parallel distributed data mining algorithm in optimal management of databases for organizations					
Integrating business analytics into strategic planning for better performance,	Integrating business analytics into strategic planning for better performance					
Integration and reuse of data mining in business processes - A pattern-based approach,	Integration and reuse of data mining in business processes - A pattern-based approach					
The secrets to managing business analytics projects,	The secrets to managing business analytics projects					
Business analytics based on financial time series,	Business analytics based on financial time series					
Research on data mining in university admissions decision-making,	Research on data mining in university admissions decision-making					
Real-time analysis on finding significance of data mining on CRM of service sector organisations: An Indian perspective,	Real-time analysis on finding significance of data mining on CRM of service sector organisations: An Indian perspective					
Improving decision-making for equipment assets: Efficiency, uptime, profits can be increased with data driven predictive maintenance,	Improving decision-making for equipment assets: Efficiency, uptime, profits can be increased with data driven predictive maintenance					
An incident information management framework based on data integration, data mining, and multi-criteria decision making,	An incident information management framework based on data integration, data mining, and multi-criteria decision making					
Data driven optimal decision making modeling for copper-matte converting process,	Data driven optimal decision making modeling for copper-matte converting process					
Role of knowledge management and analytical CRM in business: Data mining based framework,	Role of knowledge management and analytical CRM in business: Data mining based framework					
A data-driven generic simulation model for logistics-embedded assembly manufacturing lines,	A data-driven generic simulation model for logistics-embedded assembly manufacturing lines					
First place organization: Children's Hospital & Medical Center. Data-driven. How children's of Omaha is bending the curve on quality and efficiency through dashboard use.,	First place organization: Children's Hospital & Medical Center. Data-driven. How children's of Omaha is bending the curve on quality and efficiency through dashboard use.					
Manufacturing network simulation using a data-driven model,	Manufacturing network simulation using a data-driven model					
Promoting where, when and what? An analysis of web logs by integrating data mining and social network techniques to guide ecommerce business promotions,	Promoting where, when and what? An analysis of web logs by integrating data mining and social network techniques to guide ecommerce business promotions					
Promoting Effective Decision Making Using Analytics in a Virtual Technology Lab,	Promoting Effective Decision Making Using Analytics in a Virtual Technology Lab					
SIDEKICK: Genomic data driven analysis and decision-making framework,	SIDEKICK: Genomic data driven analysis and decision-making framework					
Analyzing the longitudinal K-12 grading histories of entire cohorts of students: Grades, data driven decision making, dropping out and hierarchical cluster analysis,	Analyzing the longitudinal K-12 grading histories of entire cohorts of students: Grades, data driven decision making, dropping out and hierarchical cluster analysis					
Rule-based data mining for yield improvement in semiconductor manufacturing,	Rule-based data mining for yield improvement in semiconductor manufacturing					
Implementing a data mining solution for enhancing carpet manufacturing productivity,	Implementing a data mining solution for enhancing carpet manufacturing productivity					
Business rule discovery through data mining methods,	Business rule discovery through data mining methods					
An analytic approach to select data mining for business decision,	An analytic approach to select data mining for business decision					
Business intelligence applications in retail business:OLAP, data mining and reporting services,	Business intelligence applications in retail business:OLAP, data mining and reporting services					
A methodology for the semi-automatic creation of data-driven detailed business ontologies,	A methodology for the semi-automatic creation of data-driven detailed business ontologies					
How instructional coaches support data-driven decision making: Policy implementation and effects in Florida middle schools,	How instructional coaches support data-driven decision making: Policy implementation and effects in Florida middle schools					
Principles for successful mobile CRM in organisations from data mining perspective,	Principles for successful mobile CRM in organisations from data mining perspective					
Crime data mining as a decision making tool,	Crime data mining as a decision making tool					
Metal frame for actuator manufacturing process improvement using data mining techniques,	Metal frame for actuator manufacturing process improvement using data mining techniques					
Building process understanding for vaccine manufacturing using data mining,	Building process understanding for vaccine manufacturing using data mining					
The impact of business analytics on supply chain performance,	The impact of business analytics on supply chain performance					
Are you prepared for data-driven decision making?,	Are you prepared for data-driven decision making?					
Data-driven decision making in electronic collection development,	Data-driven decision making in electronic collection development					
Integration of GIS and data mining technology to enhance the pavement management decision making,	Integration of GIS and data mining technology to enhance the pavement management decision making					
Customer behavior and decision making in the refurbishment industry - A data mining approach,	Customer behavior and decision making in the refurbishment industry - A data mining approach					
Data mining for yield enhancement in TFT-LCD manufacturing: An empirical study,	Data mining for yield enhancement in TFT-LCD manufacturing: An empirical study					
Collaborative particle swarm optimization with a data mining technique for manufacturing cell design,	Collaborative particle swarm optimization with a data mining technique for manufacturing cell design					
Visual analytics of an eighteenth-century business network,	Visual analytics of an eighteenth-century business network					
Data mining based on rough sets in risk decision-making: Foundation and application,	Data mining based on rough sets in risk decision-making: Foundation and application					
Clouds, big data, and smart assets: Ten tech-enabled business trends to watch,	Clouds, big data, and smart assets: Ten tech-enabled business trends to watch					
A data-driven manufacturing support system for rubber extrusion lines,	A data-driven manufacturing support system for rubber extrusion lines					
Data mining for business applications: Introduction,	Data mining for business applications: Introduction					
Mining the body features to develop sizing systems to improve business logistics and marketing using fuzzy clustering data mining,	Mining the body features to develop sizing systems to improve business logistics and marketing using fuzzy clustering data mining					
Interval cycle time estimation in a semiconductor manufacturing system with a data-mining approach,	Interval cycle time estimation in a semiconductor manufacturing system with a data-mining approach					
Web analytics for business intelligence,	Web analytics for business intelligence					
Aligning value drivers with business operations by data mining for strategic advantage in business organisations,	Aligning value drivers with business operations by data mining for strategic advantage in business organisations					
Optimizing a batch manufacturing process through interpretable data mining models,	Optimizing a batch manufacturing process through interpretable data mining models					
Data mining in manufacturing: A review based on the kind of knowledge,	Data mining in manufacturing: A review based on the kind of knowledge					
Geslab: Creation, organization and management of analytics platforms [Geslab: Création, organisation et gestion de plateformes analytiques],	Geslab: Creation, organization and management of analytics platforms [Geslab: Création, organisation et gestion de plateformes analytiques]					
Organization and management of analytics platforms via Geslab [Organisation et gestion de plateformes analytiques via Geslab],	Organization and management of analytics platforms via Geslab [Organisation et gestion de plateformes analytiques via Geslab]					
Supporting students' literacy through data-driven decision-making and ongoing assessment of achievement,	Supporting students' literacy through data-driven decision-making and ongoing assessment of achievement					
Augmenting productivity analysis with data mining: An application on IT business value,	Augmenting productivity analysis with data mining: An application on IT business value					
Framework for formal implementation of the business understanding phase of data mining projects,	Framework for formal implementation of the business understanding phase of data mining projects					
Data-driven medical decision-making in managing chemotherapy-induced nausea and vomiting,	Data-driven medical decision-making in managing chemotherapy-induced nausea and vomiting					
Bottleneck detection of complex manufacturing systems using a data-driven method,	Bottleneck detection of complex manufacturing systems using a data-driven method					
Structured analytics: The creation of the intelligent organization,	Structured analytics: The creation of the intelligent organization					
Data driven bottleneck detection of manufacturing systems,	Data driven bottleneck detection of manufacturing systems					
Data mining in manufacturing: Significance analysis of process parameters,	Data mining in manufacturing: Significance analysis of process parameters					
Data-driven decision making: The development and validation of an instrument to measure principals' practices,	Data-driven decision making: The development and validation of an instrument to measure principals' practices					
Structural equation modeling for high school principals' data-driven decision making: An analysis of information use environments,	Structural equation modeling for high school principals' data-driven decision making: An analysis of information use environments					
Protecting business intelligence and customer privacy while outsourcing data mining tasks,	Protecting business intelligence and customer privacy while outsourcing data mining tasks					
Creating a system for data-driven decision-making: Applying the principal-agent framework,	Creating a system for data-driven decision-making: Applying the principal-agent framework					
A knowledge management approach to data mining process for business intelligence,	A knowledge management approach to data mining process for business intelligence					
Real time business intelligence in supply chain analytics,	Real time business intelligence in supply chain analytics					
A privacy-protecting business-analytics service for on-line transactions,	A privacy-protecting business-analytics service for on-line transactions					
Imputing manufacturing material in data mining,	Imputing manufacturing material in data mining					
Business intelligence: Large volume analytics for XML in DB2 9,	Business intelligence: Large volume analytics for XML in DB2 9					
Cellular manufacturing performance improvement using data mining techniques,	Cellular manufacturing performance improvement using data mining techniques					
Applications of data mining in E-business finance: Introduction,	Applications of data mining in E-business finance: Introduction					
Sequence mining for business analytics: Building project taxonomies for resource demand forecasting,	Sequence mining for business analytics: Building project taxonomies for resource demand forecasting					
Perception based time series data mining for decision making,	Perception based time series data mining for decision making					
Analytics for audit and business controls in corporate travel & entertainment,	Analytics for audit and business controls in corporate travel & entertainment					
Feasibility of investment in business analytics,	Feasibility of investment in business analytics					
Business process analytics: A new approach to risk,	Business process analytics: A new approach to risk					
Data mining and knowledge discovery 1996 to 2005: Overcoming the hype and moving from 	Data mining and knowledge discovery 1996 to 2005: Overcoming the hype and moving from	business	 and 	analytics	,	https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547310353&partnerID=40&md5=8290e30ca2214dac866553e8410e06fb
Combining data mining and Game Theory in manufacturing strategy analysis,	Combining data mining and Game Theory in manufacturing strategy analysis					
Applying data mining to manufacturing: The nature and implications,	Applying data mining to manufacturing: The nature and implications					
Research of intelligence data mining based on commanding decision-making,	Research of intelligence data mining based on commanding decision-making					
Employing data mining technique to achieve the parameter optimization based on manufacturing intelligence,	Employing data mining technique to achieve the parameter optimization based on manufacturing intelligence					
Theory of actionable data mining with application to semiconductor manufacturing control,	Theory of actionable data mining with application to semiconductor manufacturing control					
Data mining for yield enhancement in semiconductor manufacturing and an empirical study,	Data mining for yield enhancement in semiconductor manufacturing and an empirical study					
Hybrid data mining approach for pattern extraction from wafer bin map to improve yield in semiconductor manufacturing,	Hybrid data mining approach for pattern extraction from wafer bin map to improve yield in semiconductor manufacturing					
Making sense of business analytics. Organizations seek to gain efficiencies using I.T. to measure clinical and financial performance.,	Making sense of business analytics. Organizations seek to gain efficiencies using I.T. to measure clinical and financial performance.					
Data mining in business,	Data mining in business					
Conceptual validation of self-organisation studied by spectroscopy in an endosperm gene model as a data-driven logistic strategy in chemometrics,	Conceptual validation of self-organisation studied by spectroscopy in an endosperm gene model as a data-driven logistic strategy in chemometrics					
Data mining-based intelligent decision support platform for engineering decision makings,	Data mining-based intelligent decision support platform for engineering decision makings					
Manufacturing lead time estimation using data mining,	Manufacturing lead time estimation using data mining					
Data-driven learning for translating anglicisms in business communication,	Data-driven learning for translating anglicisms in business communication					
Data mining tools and techniques in textile industry for effective decision making and corrective action,	Data mining tools and techniques in textile industry for effective decision making and corrective action					
Data-driven variation source identification for manufacturing process using the eigenspace comparison method,	Data-driven variation source identification for manufacturing process using the eigenspace comparison method					
An approach of electric power demand forecasting using data-mining method: A case study of application of data-mining technique to improve decision making,	An approach of electric power demand forecasting using data-mining method: A case study of application of data-mining technique to improve decision making					
Data mining for improving the quality of manufacturing: A feature set decomposition approach,	Data mining for improving the quality of manufacturing: A feature set decomposition approach					
Data mining using genetic programming for construction of a semiconductor manufacturing yield rate prediction system,	Data mining using genetic programming for construction of a semiconductor manufacturing yield rate prediction system					
A research study: Using data mining in knowledge base business strategies,	A research study: Using data mining in knowledge base business strategies					
Data mining algorithm for manufacturing process control,	Data mining algorithm for manufacturing process control					
Design of business intelligence application oriented distributed data mining system,	Design of business intelligence application oriented distributed data mining system					
Support of decision making by data mining using neural system,	Support of decision making by data mining using neural system					
Data mining as a technique for knowledge management in business process redesign,	Data mining as a technique for knowledge management in business process redesign					
Data mining for knowledge organization,	Data mining for knowledge organization					
Business analytics: Getting behind the numbers,	Business analytics: Getting behind the numbers					
Design an intelligent CIM system based on data mining technology for new manufacturing processes,	Design an intelligent CIM system based on data mining technology for new manufacturing processes					
The data-driven seismic value chain, providing a business context for the velocity issue,	The data-driven seismic value chain, providing a business context for the velocity issue					
Constructing semiconductor manufacturing performance indexes and applying data mining for manufacturing data analysis,	Constructing semiconductor manufacturing performance indexes and applying data mining for manufacturing data analysis					
The Bibliomining Process: Data Warehousing and Data Mining for Library Decision Making,	The Bibliomining Process: Data Warehousing and Data Mining for Library Decision Making					
Intelligent business analytics - A tool to build decision-support systems for eBusinesses,	Intelligent business analytics - A tool to build decision-support systems for eBusinesses					
A web-based ERP data mining system for decision making,	A web-based ERP data mining system for decision making					
Integrating web-based data mining tools with business models for knowledge management,	Integrating web-based data mining tools with business models for knowledge management					
Data mining for decision support on customer insolvency in telecommunications business,	Data mining for decision support on customer insolvency in telecommunications business					
Enhanced decision making using data mining: Applications for retailers,	Enhanced decision making using data mining: Applications for retailers					
Business performance of surveying firms: A data-driven path model,	Business performance of surveying firms: A data-driven path model					
Application of data mining in E-business,	Application of data mining in E-business					
Business applications of data mining,	Business applications of data mining					
Emerging trends in business analytics,	Emerging trends in business analytics					
Developing a data mining method for wafer binmap clustering and an empirical study in a semiconductor manufacturing fab,	Developing a data mining method for wafer binmap clustering and an empirical study in a semiconductor manufacturing fab					
Engineering smart data mining systems for internet aided design and manufacturing,	Engineering smart data mining systems for internet aided design and manufacturing					
Developing data mining framework and methods for diagnosing semiconductor manufacturing defects and an empirical study of wafer acceptance test data in a wafer fab,	Developing data mining framework and methods for diagnosing semiconductor manufacturing defects and an empirical study of wafer acceptance test data in a wafer fab					
Data mining business applications [Aplicaciones empresariales de data mining],	Data mining business applications [Aplicaciones empresariales de data mining]					
Data Mining Business Intelligence for Competitive Advantage,	Data Mining Business Intelligence for Competitive Advantage					
Development of an intelligent data-mining system for a dispersed manufacturing network,	Development of an intelligent data-mining system for a dispersed manufacturing network					
Rough set theory: A data mining tool for semiconductor manufacturing,	Rough set theory: A data mining tool for semiconductor manufacturing					
Autonomous decision-making: a data mining approach,	Autonomous decision-making: a data mining approach					
Business Method Patent Proliferation: Convergence of Transactional Analytics and Technical Scientifics,	Business Method Patent Proliferation: Convergence of Transactional Analytics and Technical Scientifics					
Strategic management and implementation of textual data mining in government organizations,	Strategic management and implementation of textual data mining in government organizations					
Using data mining to build a customer-focused organization.,	Using data mining to build a customer-focused organization.					
Data organization and access for efficient data mining,	Data organization and access for efficient data mining					
Data mining and knowledge discovery in manufacturing,	Data mining and knowledge discovery in manufacturing					
A new image distortion measure based on a data-driven multisensor organization,	A new image distortion measure based on a data-driven multisensor organization					
Nonlinear prediction of manufacturing systems through explicit and implicit data mining,	Nonlinear prediction of manufacturing systems through explicit and implicit data mining					
A data mining tool for learning from manufacturing systems,	A data mining tool for learning from manufacturing systems					
Bridging the gap between business objectives and parameters of data mining algorithms,	Bridging the gap between business objectives and parameters of data mining algorithms					
Data-driven decision-making. Integrating operational, organizational, and clinical benchmark data.,	Data-driven decision-making. Integrating operational, organizational, and clinical benchmark data.					
Data-driven decision-making,	Data-driven decision-making					
Managing for performance at Kaiser: health analytics or organization design?,	Managing for performance at Kaiser: health analytics or organization design?					
Data Driven Search Organization for Continuous Speech Recognition,	Data Driven Search Organization for Continuous Speech Recognition					
Data-driven generic simulators for flexible manufacturing systems,	Data-driven generic simulators for flexible manufacturing systems					
The manufacturing and packaging of drugs. Achema '91, 9-15 June 1991, Frankfurt/Main. Part 2: Filtration, technique, analytics [HERSTELLUNG UND VERPACKUNG VON ARZNEIMITTELN. RUCKBLICK AUF DIE ACHEMA '91 VOM 9.-15. JUNI 1991 FRANKFURT/MAIN. TEIL 2: FILTRATION, BETRIEBSTECHNIK, ANALYTIK],	The manufacturing and packaging of drugs. Achema '91, 9-15 June 1991, Frankfurt/Main. Part 2: Filtration, technique, analytics [HERSTELLUNG UND VERPACKUNG VON ARZNEIMITTELN. RUCKBLICK AUF DIE ACHEMA '91 VOM 9.-15. JUNI 1991 FRANKFURT/MAIN. TEIL 2: FILTRATION, BETRIEBSTECHNIK, ANALYTIK]					
EMERGE—A Data-Driven Medical Decision Making Aid,	EMERGE—A Data-Driven Medical Decision Making Aid					
Analytics of decision making,	Analytics of decision making					
Discussion: Analytics of decision making,	Discussion: Analytics of decision making					
